"ecosystem"	"package"	"version"	"license"	"license_files"	"status"
"cargo"	"schemars"	"0.9.0"	"MIT"	"schemars_0.9.0__LICENSE"	"included"
"cargo"	"schemars"	"1.2.2"	"MIT"	"schemars_1.2.2__LICENSE"	"included"
"cargo"	"schemars_derive"	"0.8.22"	"MIT"	"schemars_derive_0.8.22__LICENSE"	"included"
"cargo"	"scopeguard"	"1.2.0"	"MIT OR Apache-2.0"	"scopeguard_1.2.0__LICENSE-APACHE;scopeguard_1.2.0__LICENSE-MIT"	"included"
"cargo"	"selectors"	"0.36.1"	"MPL-2.0"	""	"missing"
"cargo"	"semver"	"1.0.28"	"MIT OR Apache-2.0"	"semver_1.0.28__LICENSE-APACHE;semver_1.0.28__LICENSE-MIT"	"included"
"cargo"	"serde"	"1.0.229"	"MIT OR Apache-2.0"	"serde_1.0.229__LICENSE-APACHE;serde_1.0.229__LICENSE-MIT"	"included"
"cargo"	"serde_core"	"1.0.229"	"MIT OR Apache-2.0"	"serde_core_1.0.229__LICENSE-APACHE;serde_core_1.0.229__LICENSE-MIT"	"included"
"cargo"	"serde_derive"	"1.0.229"	"MIT OR Apache-2.0"	"serde_derive_1.0.229__LICENSE-APACHE;serde_derive_1.0.229__LICENSE-MIT"	"included"
"cargo"	"serde_derive_internals"	"0.29.1"	"MIT OR Apache-2.0"	"serde_derive_internals_0.29.1__LICENSE-APACHE;serde_derive_internals_0.29.1__LICENSE-MIT"	"included"
"cargo"	"serde_json"	"1.0.151"	"MIT OR Apache-2.0"	"serde_json_1.0.151__LICENSE-APACHE;serde_json_1.0.151__LICENSE-MIT"	"included"
